_id,clone_url,commit_size,full_name,gradle_num,issue_size,pom_num,repo_size,tesfile_num,status,time,detail
fishercoder1534/Leetcode,https://github.com/fishercoder1534/Leetcode.git,4635,fishercoder1534/Leetcode,1,142,0,8778,843,F,,
jeffheaton/encog-java-core,https://github.com/jeffheaton/encog-java-core.git,3629,jeffheaton/encog-java-core,1,194,0,32251,150,T,5.5s,
alfio-event/alf.io,https://github.com/alfio-event/alf.io.git,3340,alfio-event/alf.io,1,852,0,37396,102,F,,
java-json-tools/json-schema-validator,https://github.com/java-json-tools/json-schema-validator.git,2791,java-json-tools/json-schema-validator,1,227,0,19566,110,F,,
Haehnchen/idea-php-symfony2-plugin,https://github.com/Haehnchen/idea-php-symfony2-plugin.git,2549,Haehnchen/idea-php-symfony2-plugin,1,1102,0,11727,221,F,,
real-logic/agrona,https://github.com/real-logic/agrona.git,2073,real-logic/agrona,1,233,0,3860,75,F,,
halo-dev/halo,https://github.com/halo-dev/halo.git,1963,halo-dev/halo,1,1237,0,32517,55,F,,
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor.git,1152,LMAX-Exchange/disruptor,1,342,0,8957,118,F,,
inferred/FreeBuilder,https://github.com/inferred/FreeBuilder.git,972,inferred/FreeBuilder,1,395,0,4511,152,F,,
apache/sqoop,https://github.com/apache/sqoop.git,969,apache/sqoop,1,64,0,18789,368,F,,
WeBankFinTech/WeIdentity,https://github.com/WeBankFinTech/WeIdentity.git,782,WeBankFinTech/WeIdentity,1,279,0,34366,77,F,,
TheGreyGhost/MinecraftByExample,https://github.com/TheGreyGhost/MinecraftByExample.git,546,TheGreyGhost/MinecraftByExample,1,64,0,5509,25,F,,
SQiShER/java-object-diff,https://github.com/SQiShER/java-object-diff.git,453,SQiShER/java-object-diff,1,165,0,2272,47,F,,
briandilley/jsonrpc4j,https://github.com/briandilley/jsonrpc4j.git,312,briandilley/jsonrpc4j,1,221,0,1491,40,F,,
