2023-12-07 10:31:48 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_416', methodName='testSelectedHeaders'}=TestCaseResult{TestState='FAL', usageTime='1919'}, TestCase{className='com.univocity.parsers.issues.github.Github_415', methodName='detectedFormatTest'}=TestCaseResult{TestState='PASS', usageTime='2919'}}
2023-12-07 10:31:48 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:31:48 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:8
2023-12-07 10:31:48 [main] INFO  org.regminer.miner.BFCEvaluator - e09114c6879fa6c2c15e7365abc02cda3e193ff7 checkout 
2023-12-07 10:31:48 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #415
2023-12-07 10:32:02 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_415', methodName='detectedFormatTest'}=TestCaseResult{TestState='FAL', usageTime='2926'}}
2023-12-07 10:32:02 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:32:02 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:9
2023-12-07 10:32:02 [main] INFO  org.regminer.miner.BFCEvaluator - 9b452f36f0c09345c0198aee42d422d44e26a302 checkout 
2023-12-07 10:32:02 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #414
2023-12-07 10:32:16 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_414', methodName='detectedFormatTest'}=TestCaseResult{TestState='FAL', usageTime='2921'}}
2023-12-07 10:32:16 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:32:16 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:10
2023-12-07 10:32:16 [main] INFO  org.regminer.miner.BFCEvaluator - f392311ad01676bcd0adf007c2f553112d8eb7c3 checkout 
2023-12-07 10:32:16 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Preparing to release version 2.9.0
2023-12-07 10:32:32 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.csv.CsvParserTest', methodName='parseDisablingCommentLineCheck'}=TestCaseResult{TestState='PASS', usageTime='1869'}, TestCase{className='com.univocity.parsers.issues.github.Github_394', methodName='testParsingLineWithEnableCommentLineCheckToFalse'}=TestCaseResult{TestState='PASS', usageTime='1840'}}
2023-12-07 10:32:32 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:32:32 [main] INFO  org.regminer.miner.BFCEvaluator - 70b2e71124c24f2076d6175a93960a88ea4c0b8f checkout 
2023-12-07 10:32:32 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fixed error in auto-detection of CSV where quote escapes were detected as line endings.
