"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"springfox/springfox","https://github.com/springfox/springfox.git","3755","springfox/springfox","3420","186009","false"
"xxv/android-lifecycle","https://github.com/xxv/android-lifecycle.git","15","xxv/android-lifecycle","6","3027","false"
"gzu-liyujiang/AndroidPicker","https://github.com/gzu-liyujiang/AndroidPicker.git","367","gzu-liyujiang/AndroidPicker","124","14130","true"
"Vedenin/useful-java-links","https://github.com/Vedenin/useful-java-links.git","775","Vedenin/useful-java-links","94","2420","true"
"TommyLemon/Android-ZBLibrary","https://github.com/TommyLemon/Android-ZBLibrary.git","507","TommyLemon/Android-ZBLibrary","38","32710","true"
"Devlight/NavigationTabBar","https://github.com/Devlight/NavigationTabBar.git","88","Devlight/NavigationTabBar","91","389","false"
"luckybilly/CC","https://github.com/luckybilly/CC.git","234","luckybilly/CC","166","32435","true"
"timehop/sticky-headers-recyclerview","https://github.com/timehop/sticky-headers-recyclerview.git","124","timehop/sticky-headers-recyclerview","85","337","false"
"apache/camel","https://github.com/apache/camel.git","51990","apache/camel","5381","498639","false"
"oldmanpushcart/greys-anatomy","https://github.com/oldmanpushcart/greys-anatomy.git","653","oldmanpushcart/greys-anatomy","225","1767","true"
"dromara/soul","https://github.com/dromara/soul.git","1124","dromara/soul","1249","17981","true"
"microsoft/malmo","https://github.com/microsoft/malmo.git","1768","microsoft/malmo","761","28843","true"
"lzyzsd/CircleProgress","https://github.com/lzyzsd/CircleProgress.git","102","lzyzsd/CircleProgress","60","2528","false"
"javaparser/javaparser","https://github.com/javaparser/javaparser.git","7548","javaparser/javaparser","2779","26859","true"
"azkaban/azkaban","https://github.com/azkaban/azkaban.git","2624","azkaban/azkaban","2077","53603","true"
"ronmamo/reflections","https://github.com/ronmamo/reflections.git","145","ronmamo/reflections","223","466","false"
"dreamhead/moco","https://github.com/dreamhead/moco.git","3314","dreamhead/moco","170","5367","true"
"litesuits/android-common","https://github.com/litesuits/android-common.git","79","litesuits/android-common","8","594","false"
"zuihou/lamp-cloud","https://github.com/zuihou/lamp-cloud.git","698","zuihou/lamp-cloud","52","58192","true"
"awsdocs/aws-doc-sdk-examples","https://github.com/awsdocs/aws-doc-sdk-examples.git","8204","awsdocs/aws-doc-sdk-examples","1742","67210","true"
"kiegroup/drools","https://github.com/kiegroup/drools.git","13121","kiegroup/drools","3521","175665","false"
"getActivity/AndroidProject","https://github.com/getActivity/AndroidProject.git","19","getActivity/AndroidProject","60","67752","false"
"dongjunkun/DropDownMenu","https://github.com/dongjunkun/DropDownMenu.git","123","dongjunkun/DropDownMenu","17","14892","false"
"tyrantgit/ExplosionField","https://github.com/tyrantgit/ExplosionField.git","15","tyrantgit/ExplosionField","9","1570","false"
"pqpo/SmartCropper","https://github.com/pqpo/SmartCropper.git","89","pqpo/SmartCropper","105","249116","false"
"baoyongzhang/SwipeMenuListView","https://github.com/baoyongzhang/SwipeMenuListView.git","64","baoyongzhang/SwipeMenuListView","42","1854","false"
