"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"hanks-zyh/SmallBang","https://github.com/hanks-zyh/SmallBang.git","30","hanks-zyh/SmallBang","13","6379","false"
"yahoo/egads","https://github.com/yahoo/egads.git","101","yahoo/egads","46","1362","false"
"nikhilpanju/RecyclerViewEnhanced","https://github.com/nikhilpanju/RecyclerViewEnhanced.git","29","nikhilpanju/RecyclerViewEnhanced","15","886","false"
"abel533/ECharts","https://github.com/abel533/ECharts.git","296","abel533/ECharts","8","1848","false"
"imbryk/LoopingViewPager","https://github.com/imbryk/LoopingViewPager.git","12","imbryk/LoopingViewPager","12","534","false"
"MZCretin/ExpandableTextView","https://github.com/MZCretin/ExpandableTextView.git","68","MZCretin/ExpandableTextView","39","38125","false"
"AnthonyFermin/DropDownView","https://github.com/AnthonyFermin/DropDownView.git","34","AnthonyFermin/DropDownView","3","206","false"
"Netflix/Priam","https://github.com/Netflix/Priam.git","1432","Netflix/Priam","882","13071","true"
"tomthecarrot/arcore-for-all","https://github.com/tomthecarrot/arcore-for-all.git","60","tomthecarrot/arcore-for-all","32","67475","false"
"00-Evan/shattered-pixel-dungeon","https://github.com/00-Evan/shattered-pixel-dungeon.git","4564","00-Evan/shattered-pixel-dungeon","651","44393","true"
"lucasr/smoothie","https://github.com/lucasr/smoothie.git","96","lucasr/smoothie","21","867","false"
"intuit/wasabi","https://github.com/intuit/wasabi.git","1084","intuit/wasabi","300","19431","true"
"scola/Qart","https://github.com/scola/Qart.git","43","scola/Qart","3","3402","false"
"crazyqiang/AndroidStudy","https://github.com/crazyqiang/AndroidStudy.git","110","crazyqiang/AndroidStudy","4","13922","false"
"DragonetMC/DragonProxy","https://github.com/DragonetMC/DragonProxy.git","257","DragonetMC/DragonProxy","532","15222","false"
"ShamylZakariya/FlyoutMenus","https://github.com/ShamylZakariya/FlyoutMenus.git","26","ShamylZakariya/FlyoutMenus","5","8657","false"
"hongyangAndroid/MPermissions","https://github.com/hongyangAndroid/MPermissions.git","10","hongyangAndroid/MPermissions","13","389","false"
"wildma/IDCardCamera","https://github.com/wildma/IDCardCamera.git","44","wildma/IDCardCamera","30","8276","false"
"codenameone/CodenameOne","https://github.com/codenameone/CodenameOne.git","7205","codenameone/CodenameOne","2877","220363","false"
"timebusker/spring-boot","https://github.com/timebusker/spring-boot.git","229","timebusker/spring-boot","14","12159","false"
"getActivity/TitleBar","https://github.com/getActivity/TitleBar.git","31","getActivity/TitleBar","39","24062","false"
"sofastack/sofa-ark","https://github.com/sofastack/sofa-ark.git","239","sofastack/sofa-ark","413","17529","false"
"HanSolo/tilesfx","https://github.com/HanSolo/tilesfx.git","881","HanSolo/tilesfx","105","22140","true"
"alexxiyang/shiro-redis","https://github.com/alexxiyang/shiro-redis.git","229","alexxiyang/shiro-redis","132","855","false"
"kohlschutter/boilerpipe","https://github.com/kohlschutter/boilerpipe.git","188","kohlschutter/boilerpipe","8","2377","false"
"seven456/MultiChannelPackageTool","https://github.com/seven456/MultiChannelPackageTool.git","50","seven456/MultiChannelPackageTool","20","363","false"
"iReaderAndroid/ZeusPlugin","https://github.com/iReaderAndroid/ZeusPlugin.git","68","iReaderAndroid/ZeusPlugin","4","17132","false"
"enilu/web-flash","https://github.com/enilu/web-flash.git","333","enilu/web-flash","78","15780","true"
"purplecabbage/phonegap-plugins","https://github.com/purplecabbage/phonegap-plugins.git","1633","purplecabbage/phonegap-plugins","59","62019","false"
"psdcompany/duo-navigation-drawer","https://github.com/psdcompany/duo-navigation-drawer.git","117","psdcompany/duo-navigation-drawer","25","22127","false"
"apache/usergrid","https://github.com/apache/usergrid.git","10954","apache/usergrid","599","383452","false"
"bufferapp/BufferTextInputLayout","https://github.com/bufferapp/BufferTextInputLayout.git","21","bufferapp/BufferTextInputLayout","7","252","false"
"BlueMor/DragLayout","https://github.com/BlueMor/DragLayout.git","31","BlueMor/DragLayout","3","5984","false"
"DWorkS/VolleyPlus","https://github.com/DWorkS/VolleyPlus.git","138","DWorkS/VolleyPlus","52","2971","false"
"serso/android-checkout","https://github.com/serso/android-checkout.git","409","serso/android-checkout","157","2110","true"
"yangpeixing/YImagePicker","https://github.com/yangpeixing/YImagePicker.git","196","yangpeixing/YImagePicker","77","31983","false"
"signalapp/BitHub","https://github.com/signalapp/BitHub.git","38","signalapp/BitHub","23","549","false"
"AndroidVTS/android-vts","https://github.com/AndroidVTS/android-vts.git","389","AndroidVTS/android-vts","129","52035","true"
"hyperledger/fabric-sdk-java","https://github.com/hyperledger/fabric-sdk-java.git","498","hyperledger/fabric-sdk-java","119","5695","true"
"diwi/PixelFlow","https://github.com/diwi/PixelFlow.git","510","diwi/PixelFlow","23","36159","true"
"nordnet/cordova-hot-code-push","https://github.com/nordnet/cordova-hot-code-push.git","480","nordnet/cordova-hot-code-push","370","916","true"
"pig-mesh/pig","https://github.com/pig-mesh/pig.git","429","pig-mesh/pig","6","10102","true"
"booncol/Pulsator4Droid","https://github.com/booncol/Pulsator4Droid.git","34","booncol/Pulsator4Droid","7","212","false"
"youlookwhat/ByWebView","https://github.com/youlookwhat/ByWebView.git","162","youlookwhat/ByWebView","25","7995","false"
"msdx/status-bar-compat","https://github.com/msdx/status-bar-compat.git","78","msdx/status-bar-compat","39","212","false"
"TeamNB/FakeBiliBili","https://github.com/TeamNB/FakeBiliBili.git","56","TeamNB/FakeBiliBili","2","26111","false"
"influxdata/influxdb-java","https://github.com/influxdata/influxdb-java.git","1096","influxdata/influxdb-java","653","1454","true"
"AntonioRedondo/AnotherMonitor","https://github.com/AntonioRedondo/AnotherMonitor.git","58","AntonioRedondo/AnotherMonitor","9","307","false"
"zstackio/zstack","https://github.com/zstackio/zstack.git","10450","zstackio/zstack","1150","104245","false"
"cprcrack/VideoEnabledWebView","https://github.com/cprcrack/VideoEnabledWebView.git","13","cprcrack/VideoEnabledWebView","12","114","false"
"Discord4J/Discord4J","https://github.com/Discord4J/Discord4J.git","3313","Discord4J/Discord4J","844","21628","true"
"redwarp/9-Patch-Resizer","https://github.com/redwarp/9-Patch-Resizer.git","111","redwarp/9-Patch-Resizer","31","540","false"
"apache/cloudstack","https://github.com/apache/cloudstack.git","34030","apache/cloudstack","4498","554879","false"
"spring-projects/spring-restdocs","https://github.com/spring-projects/spring-restdocs.git","960","spring-projects/spring-restdocs","666","4762","true"
"JaceyRx/Examination_System","https://github.com/JaceyRx/Examination_System.git","18","JaceyRx/Examination_System","6","884","false"
"banq/jdonframework","https://github.com/banq/jdonframework.git","431","banq/jdonframework","12","133312","false"
"Krupen/AutoplayVideos","https://github.com/Krupen/AutoplayVideos.git","133","Krupen/AutoplayVideos","67","13386","false"
"eclipse/jgit","https://github.com/eclipse/jgit.git","8289","eclipse/jgit","66","113446","false"
"openmrs/openmrs-core","https://github.com/openmrs/openmrs-core.git","11381","openmrs/openmrs-core","3563","232870","false"
"nguyenq/tess4j","https://github.com/nguyenq/tess4j.git","446","nguyenq/tess4j","194","184409","false"
"algorithm004-01/algorithm004-01","https://github.com/algorithm004-01/algorithm004-01.git","2353","algorithm004-01/algorithm004-01","777","97347","false"
"stealthcopter/AndroidNetworkTools","https://github.com/stealthcopter/AndroidNetworkTools.git","152","stealthcopter/AndroidNetworkTools","63","486","false"
"panwrona/DownloadProgressBar","https://github.com/panwrona/DownloadProgressBar.git","11","panwrona/DownloadProgressBar","7","887","false"
"koush/UrlImageViewHelper","https://github.com/koush/UrlImageViewHelper.git","155","koush/UrlImageViewHelper","69","2776","false"
"linkedin/test-butler","https://github.com/linkedin/test-butler.git","116","linkedin/test-butler","101","361","false"
"gongwen/SwipeBackLayout","https://github.com/gongwen/SwipeBackLayout.git","21","gongwen/SwipeBackLayout","3","9386","false"
"YangModels/yang","https://github.com/YangModels/yang.git","1912","YangModels/yang","956","85927","false"
"TangXiaoLv/Android-Easy-MultiDex","https://github.com/TangXiaoLv/Android-Easy-MultiDex.git","38","TangXiaoLv/Android-Easy-MultiDex","21","394","false"
"Slyce-Inc/SlyceMessaging","https://github.com/Slyce-Inc/SlyceMessaging.git","121","Slyce-Inc/SlyceMessaging","28","1634","false"
"treasure-data/digdag","https://github.com/treasure-data/digdag.git","4182","treasure-data/digdag","1407","82770","false"
"xenv/gushici","https://github.com/xenv/gushici.git","16","xenv/gushici","5","1342","false"
"feicien/android-auto-update","https://github.com/feicien/android-auto-update.git","28","feicien/android-auto-update","18","3782","false"
"googlearchive/android-BluetoothChat","https://github.com/googlearchive/android-BluetoothChat.git","26","googlearchive/android-BluetoothChat","18","571","false"
"xuyisheng/ShortcutHelper","https://github.com/xuyisheng/ShortcutHelper.git","10","xuyisheng/ShortcutHelper","4","128","false"
"wirecube/android_additive_animations","https://github.com/wirecube/android_additive_animations.git","127","wirecube/android_additive_animations","14","45075","false"
"megagao/production_ssm","https://github.com/megagao/production_ssm.git","1092","megagao/production_ssm","15","6790","true"
"UCodeUStory/DataStructure","https://github.com/UCodeUStory/DataStructure.git","235","UCodeUStory/DataStructure","2","33494","false"
"EssentialsX/Essentials","https://github.com/EssentialsX/Essentials.git","5895","EssentialsX/Essentials","3871","402020","false"
"XndroidDev/Xndroid","https://github.com/XndroidDev/Xndroid.git","86","XndroidDev/Xndroid","183","47733","false"
"feihong-cs/ShiroExploit-Deprecated","https://github.com/feihong-cs/ShiroExploit-Deprecated.git","107","feihong-cs/ShiroExploit-Deprecated","32","3292","false"
"googlesamples/mlkit","https://github.com/googlesamples/mlkit.git","183","googlesamples/mlkit","218","43437","false"
"curtis2/SuperVideoPlayer","https://github.com/curtis2/SuperVideoPlayer.git","40","curtis2/SuperVideoPlayer","7","87720","false"
"WeBankFinTech/WeIdentity","https://github.com/WeBankFinTech/WeIdentity.git","782","WeBankFinTech/WeIdentity","279","34366","true"
"yidao620c/SpringBootBucket","https://github.com/yidao620c/SpringBootBucket.git","61","yidao620c/SpringBootBucket","3","2265","false"
"bravoborja/FocusResize","https://github.com/bravoborja/FocusResize.git","34","bravoborja/FocusResize","3","19752","false"
"erickok/transdroid","https://github.com/erickok/transdroid.git","773","erickok/transdroid","496","9468","true"
"eowise/recyclerview-stickyheaders","https://github.com/eowise/recyclerview-stickyheaders.git","98","eowise/recyclerview-stickyheaders","38","77494","false"
"jpardogo/ListBuddies","https://github.com/jpardogo/ListBuddies.git","151","jpardogo/ListBuddies","15","9772","false"
"tiagohm/MarkdownView","https://github.com/tiagohm/MarkdownView.git","203","tiagohm/MarkdownView","21","6521","false"
"wildabeast/BarcodeScanner","https://github.com/wildabeast/BarcodeScanner.git","202","wildabeast/BarcodeScanner","162","5135","false"
"Netflix/hollow","https://github.com/Netflix/hollow.git","975","Netflix/hollow","421","21317","true"
"fly803/BaseProject","https://github.com/fly803/BaseProject.git","225","fly803/BaseProject","4","29423","false"
"rabbitmq/rabbitmq-java-client","https://github.com/rabbitmq/rabbitmq-java-client.git","4405","rabbitmq/rabbitmq-java-client","653","56941","true"
"odrotbohm/spring-restbucks","https://github.com/odrotbohm/spring-restbucks.git","214","odrotbohm/spring-restbucks","92","848","false"
"ddd-by-examples/factory","https://github.com/ddd-by-examples/factory.git","135","ddd-by-examples/factory","20","9781","false"
"xmuSistone/AnimRichEditor","https://github.com/xmuSistone/AnimRichEditor.git","25","xmuSistone/AnimRichEditor","13","2891","false"
"bmarrdev/android-DecoView-charting","https://github.com/bmarrdev/android-DecoView-charting.git","128","bmarrdev/android-DecoView-charting","25","1111","false"
"passsy/android-HoloCircularProgressBar","https://github.com/passsy/android-HoloCircularProgressBar.git","75","passsy/android-HoloCircularProgressBar","30","1176","false"
"dboissier/mongo4idea","https://github.com/dboissier/mongo4idea.git","561","dboissier/mongo4idea","216","46891","true"
"iiitv/algos","https://github.com/iiitv/algos.git","372","iiitv/algos","618","430","true"
"109021017/android-TopActivity","https://github.com/109021017/android-TopActivity.git","30","109021017/android-TopActivity","9","378","false"
"CycloneAxe/phphub-android","https://github.com/CycloneAxe/phphub-android.git","373","CycloneAxe/phphub-android","28","3210","true"
"fkzhang/WechatUnrecalled","https://github.com/fkzhang/WechatUnrecalled.git","1883","fkzhang/WechatUnrecalled","76","2364664","false"
"ta4j/ta4j","https://github.com/ta4j/ta4j.git","909","ta4j/ta4j","670","7582","true"
"shchurov/HorizontalWheelView","https://github.com/shchurov/HorizontalWheelView.git","38","shchurov/HorizontalWheelView","14","268","false"
"417511458/jbone","https://github.com/417511458/jbone.git","457","417511458/jbone","28","59292","false"
"mit-cml/appinventor-sources","https://github.com/mit-cml/appinventor-sources.git","2431","mit-cml/appinventor-sources","2008","892335","false"
"nginx-clojure/nginx-clojure","https://github.com/nginx-clojure/nginx-clojure.git","552","nginx-clojure/nginx-clojure","238","3541","true"
"LillteZheng/ViewPagerHelper","https://github.com/LillteZheng/ViewPagerHelper.git","107","LillteZheng/ViewPagerHelper","41","80840","false"
"fenjuly/ArrowDownloadButton","https://github.com/fenjuly/ArrowDownloadButton.git","28","fenjuly/ArrowDownloadButton","6","291","false"
"tiann/Leoric","https://github.com/tiann/Leoric.git","17","tiann/Leoric","10","203","false"
"GcsSloop/pager-layoutmanager","https://github.com/GcsSloop/pager-layoutmanager.git","32","GcsSloop/pager-layoutmanager","12","1029","false"
"y3sh/Intellij-Colors-Sublime-Monokai","https://github.com/y3sh/Intellij-Colors-Sublime-Monokai.git","55","y3sh/Intellij-Colors-Sublime-Monokai","31","726","false"
"omadahealth/SwipyRefreshLayout","https://github.com/omadahealth/SwipyRefreshLayout.git","48","omadahealth/SwipyRefreshLayout","61","344","false"
"jd-alexander/Google-Directions-Android","https://github.com/jd-alexander/Google-Directions-Android.git","173","jd-alexander/Google-Directions-Android","58","3742","false"
"hsiafan/apk-parser","https://github.com/hsiafan/apk-parser.git","274","hsiafan/apk-parser","86","22537","false"
"daizhenjun/ImageFilterForAndroid","https://github.com/daizhenjun/ImageFilterForAndroid.git","19","daizhenjun/ImageFilterForAndroid","0","1094","false"
"chenupt/BezierDemo","https://github.com/chenupt/BezierDemo.git","9","chenupt/BezierDemo","0","388","false"
"jcodec/jcodec","https://github.com/jcodec/jcodec.git","922","jcodec/jcodec","249","131765","false"
"gaul/s3proxy","https://github.com/gaul/s3proxy.git","824","gaul/s3proxy","284","1394","true"
"glomadrian/material-code-input","https://github.com/glomadrian/material-code-input.git","35","glomadrian/material-code-input","10","176","false"
"trekawek/coffee-gb","https://github.com/trekawek/coffee-gb.git","199","trekawek/coffee-gb","11","4366","false"
"wupeixuan/JDKSourceCode1.8","https://github.com/wupeixuan/JDKSourceCode1.8.git","52","wupeixuan/JDKSourceCode1.8","4","35564","false"
"android-cn/android-open-project-demo","https://github.com/android-cn/android-open-project-demo.git","219","android-cn/android-open-project-demo","9","133904","false"
"chillzhuang/blade-tool","https://github.com/chillzhuang/blade-tool.git","181","chillzhuang/blade-tool","11","6067","false"
"gsh199449/spider","https://github.com/gsh199449/spider.git","104","gsh199449/spider","29","15139","false"
"AdevintaSpain/Parallax-Layer-Layout","https://github.com/AdevintaSpain/Parallax-Layer-Layout.git","30","AdevintaSpain/Parallax-Layer-Layout","20","2035","false"
"OpenLauncherTeam/openlauncher","https://github.com/OpenLauncherTeam/openlauncher.git","1108","OpenLauncherTeam/openlauncher","544","30909","true"
"Gavin-ZYX/StickyDecoration","https://github.com/Gavin-ZYX/StickyDecoration.git","95","Gavin-ZYX/StickyDecoration","85","990","false"
"Chion82/WeChatMomentStat-Android","https://github.com/Chion82/WeChatMomentStat-Android.git","15","Chion82/WeChatMomentStat-Android","16","31723","false"
"ashqal/MD360Player4Android","https://github.com/ashqal/MD360Player4Android.git","327","ashqal/MD360Player4Android","183","52768","true"
"good-life/PushTalk","https://github.com/good-life/PushTalk.git","129","good-life/PushTalk","8","51606","false"
"jaychang0917/SimpleRecyclerView","https://github.com/jaychang0917/SimpleRecyclerView.git","220","jaychang0917/SimpleRecyclerView","39","163241","false"
"alibaba/simpleimage","https://github.com/alibaba/simpleimage.git","45","alibaba/simpleimage","7","56754","false"
"SkyTubeTeam/SkyTube","https://github.com/SkyTubeTeam/SkyTube.git","2870","SkyTubeTeam/SkyTube","810","21758","true"
"codemybrainsout/ahoy-onboarding","https://github.com/codemybrainsout/ahoy-onboarding.git","38","codemybrainsout/ahoy-onboarding","12","6621","false"
"Tencent/RapidView","https://github.com/Tencent/RapidView.git","202","Tencent/RapidView","24","7206","false"
"zhangxd1989/springboot-dubbox","https://github.com/zhangxd1989/springboot-dubbox.git","12","zhangxd1989/springboot-dubbox","5","119","false"
"openproject/LessCode","https://github.com/openproject/LessCode.git","190","openproject/LessCode","10","670","false"
"aliyun/aliyun-oss-java-sdk","https://github.com/aliyun/aliyun-oss-java-sdk.git","314","aliyun/aliyun-oss-java-sdk","263","9820","true"
"Gottox/socket.io-java-client","https://github.com/Gottox/socket.io-java-client.git","187","Gottox/socket.io-java-client","40","1738","false"
"venshine/WheelView","https://github.com/venshine/WheelView.git","72","venshine/WheelView","23","5162","false"
"mahmoudparsian/data-algorithms-book","https://github.com/mahmoudparsian/data-algorithms-book.git","780","mahmoudparsian/data-algorithms-book","20","359041","false"
"sharish/CreditCardView","https://github.com/sharish/CreditCardView.git","67","sharish/CreditCardView","35","265","false"
"hss01248/DialogUtil","https://github.com/hss01248/DialogUtil.git","153","hss01248/DialogUtil","52","7728","false"
"sukritishah15/DS-Algo-Point","https://github.com/sukritishah15/DS-Algo-Point.git","1315","sukritishah15/DS-Algo-Point","674","4096","true"
"pentaho/mondrian","https://github.com/pentaho/mondrian.git","4310","pentaho/mondrian","1166","314336","false"
"microsoftarchive/android-sliding-layer-lib","https://github.com/microsoftarchive/android-sliding-layer-lib.git","220","microsoftarchive/android-sliding-layer-lib","55","1255","false"
"c0ny1/chunked-coding-converter","https://github.com/c0ny1/chunked-coding-converter.git","20","c0ny1/chunked-coding-converter","5","135","false"
"Freelander/Elephant","https://github.com/Freelander/Elephant.git","38","Freelander/Elephant","15","4617","false"
"ganfra/MaterialSpinner","https://github.com/ganfra/MaterialSpinner.git","78","ganfra/MaterialSpinner","95","3701","false"
"awslabs/aws-sdk-android-samples","https://github.com/awslabs/aws-sdk-android-samples.git","213","awslabs/aws-sdk-android-samples","99","10496","false"
"mpatric/mp3agic","https://github.com/mpatric/mp3agic.git","242","mpatric/mp3agic","134","516","false"
"Musenkishi/wally","https://github.com/Musenkishi/wally.git","21","Musenkishi/wally","3","756","false"
"resteasy/Resteasy","https://github.com/resteasy/Resteasy.git","4684","resteasy/Resteasy","2639","55536","true"
"nathanmarz/storm-starter","https://github.com/nathanmarz/storm-starter.git","120","nathanmarz/storm-starter","28","543","false"
"monkeyWie/proxyee","https://github.com/monkeyWie/proxyee.git","156","monkeyWie/proxyee","95","277","false"
"karonl/InDoorSurfaceView","https://github.com/karonl/InDoorSurfaceView.git","66","karonl/InDoorSurfaceView","8","2451","false"
"jianzhongli/MathView","https://github.com/jianzhongli/MathView.git","23","jianzhongli/MathView","24","4175","false"
"belerweb/pinyin4j","https://github.com/belerweb/pinyin4j.git","21","belerweb/pinyin4j","10","375","false"
"bramp/ffmpeg-cli-wrapper","https://github.com/bramp/ffmpeg-cli-wrapper.git","322","bramp/ffmpeg-cli-wrapper","137","2772","true"
"chrisbanes/photup","https://github.com/chrisbanes/photup.git","572","chrisbanes/photup","1","37229","true"
"dunwu/javacore","https://github.com/dunwu/javacore.git","408","dunwu/javacore","16","12852","true"
"nekocode/Badge","https://github.com/nekocode/Badge.git","38","nekocode/Badge","4","987","false"
"cdflynn/turn-layout-manager","https://github.com/cdflynn/turn-layout-manager.git","17","cdflynn/turn-layout-manager","9","1445","false"
"zaiyunduan123/Java-Summarize","https://github.com/zaiyunduan123/Java-Summarize.git","181","zaiyunduan123/Java-Summarize","3","21102","false"
"githubwing/MVPHelper","https://github.com/githubwing/MVPHelper.git","80","githubwing/MVPHelper","26","3889","false"
"linsea/UniversalVideoView","https://github.com/linsea/UniversalVideoView.git","19","linsea/UniversalVideoView","32","463","false"
"openjdk/loom","https://github.com/openjdk/loom.git","65564","openjdk/loom","30","422159","false"
"sonyxperiadev/ApkAnalyser","https://github.com/sonyxperiadev/ApkAnalyser.git","4","sonyxperiadev/ApkAnalyser","2","4832","false"
"wujingchao/SimpleTagImageView","https://github.com/wujingchao/SimpleTagImageView.git","39","wujingchao/SimpleTagImageView","7","5755","false"
"qifengdeqingchen/SeatTable","https://github.com/qifengdeqingchen/SeatTable.git","11","qifengdeqingchen/SeatTable","0","1460","false"
"18601949127/DiDiCallCar","https://github.com/18601949127/DiDiCallCar.git","31","18601949127/DiDiCallCar","3","178792","false"
"czy1121/settingscompat","https://github.com/czy1121/settingscompat.git","26","czy1121/settingscompat","7","334","false"
"1024-lab/smart-admin","https://github.com/1024-lab/smart-admin.git","42","1024-lab/smart-admin","5","1796","false"
"LiangLuDev/WeYueReader","https://github.com/LiangLuDev/WeYueReader.git","47","LiangLuDev/WeYueReader","10","38770","false"
"twotoasters/JazzyListView","https://github.com/twotoasters/JazzyListView.git","111","twotoasters/JazzyListView","34","4190","false"
"Agontuk/react-native-geolocation-service","https://github.com/Agontuk/react-native-geolocation-service.git","163","Agontuk/react-native-geolocation-service","211","5575","false"
"jiangzehui/xmpp","https://github.com/jiangzehui/xmpp.git","41","jiangzehui/xmpp","6","38441","false"
"federicodotta/Brida","https://github.com/federicodotta/Brida.git","91","federicodotta/Brida","66","6499","false"
"cloudera/flume","https://github.com/cloudera/flume.git","389","cloudera/flume","10","47820","true"
"openaudible/openaudible","https://github.com/openaudible/openaudible.git","61","openaudible/openaudible","578","167905","false"
"blox/blox","https://github.com/blox/blox.git","341","blox/blox","351","5805","true"
"linisme/SlimAdapter","https://github.com/linisme/SlimAdapter.git","127","linisme/SlimAdapter","32","5111","false"
"Hitomis/CircleMenu","https://github.com/Hitomis/CircleMenu.git","54","Hitomis/CircleMenu","16","527","false"
"HurTeng/StormPlane","https://github.com/HurTeng/StormPlane.git","22","HurTeng/StormPlane","3","24355","false"
"jarlen/PhotoEdit","https://github.com/jarlen/PhotoEdit.git","31","jarlen/PhotoEdit","11","59437","false"
"litesuits/android-lite-bluetoothLE","https://github.com/litesuits/android-lite-bluetoothLE.git","36","litesuits/android-lite-bluetoothLE","9","287","false"
"cpiz/BubbleView","https://github.com/cpiz/BubbleView.git","104","cpiz/BubbleView","21","2610","false"
"IanDarwin/Android-Cookbook-Examples","https://github.com/IanDarwin/Android-Cookbook-Examples.git","1093","IanDarwin/Android-Cookbook-Examples","4","58697","false"
"plantuml/plantuml-server","https://github.com/plantuml/plantuml-server.git","325","plantuml/plantuml-server","95","6915","true"
"Ajian-studio/GADownloading","https://github.com/Ajian-studio/GADownloading.git","25","Ajian-studio/GADownloading","1","358","false"
"borball/weixin-sdk","https://github.com/borball/weixin-sdk.git","299","borball/weixin-sdk","72","5747","false"
"google/re2j","https://github.com/google/re2j.git","162","google/re2j","115","1349","false"
"mthli/Ninja","https://github.com/mthli/Ninja.git","344","mthli/Ninja","19","17758","true"
"akaita/easylauncher-gradle-plugin","https://github.com/akaita/easylauncher-gradle-plugin.git","46","akaita/easylauncher-gradle-plugin","23","392","false"
"tony19/logback-android","https://github.com/tony19/logback-android.git","4238","tony19/logback-android","209","51799","true"
"cundong/ZhihuPaper","https://github.com/cundong/ZhihuPaper.git","127","cundong/ZhihuPaper","9","15952","false"
"playgameservices/android-basic-samples","https://github.com/playgameservices/android-basic-samples.git","312","playgameservices/android-basic-samples","245","143968","false"
"mgarin/weblaf","https://github.com/mgarin/weblaf.git","1643","mgarin/weblaf","494","125967","false"
"leonHua/LFilePicker","https://github.com/leonHua/LFilePicker.git","101","leonHua/LFilePicker","30","3352","false"
"GcsSloop/diycode","https://github.com/GcsSloop/diycode.git","379","GcsSloop/diycode","6","1519","true"
"glomadrian/loading-balls","https://github.com/glomadrian/loading-balls.git","14","glomadrian/loading-balls","2","13526","false"
"githubwing/WingUE","https://github.com/githubwing/WingUE.git","26","githubwing/WingUE","6","1784","false"
"aol/micro-server","https://github.com/aol/micro-server.git","988","aol/micro-server","382","8327","true"
"Meetic/MaryPopup","https://github.com/Meetic/MaryPopup.git","17","Meetic/MaryPopup","2","5897","false"
"almalence/OpenCamera","https://github.com/almalence/OpenCamera.git","2243","almalence/OpenCamera","37","109418","false"
"wuhenzhizao/android-titlebar","https://github.com/wuhenzhizao/android-titlebar.git","84","wuhenzhizao/android-titlebar","54","7228","false"
"JmStefanAndroid/EasyBehavior","https://github.com/JmStefanAndroid/EasyBehavior.git","34","JmStefanAndroid/EasyBehavior","24","4332","false"
"pgjdbc/pgjdbc","https://github.com/pgjdbc/pgjdbc.git","2813","pgjdbc/pgjdbc","1786","18586","true"
"aptana/studio3","https://github.com/aptana/studio3.git","16348","aptana/studio3","411","311263","false"
"itext/itext7","https://github.com/itext/itext7.git","5174","itext/itext7","62","473596","false"
"w1123440793/VideoListDemo","https://github.com/w1123440793/VideoListDemo.git","12","w1123440793/VideoListDemo","7","12140","false"
"adnan-SM/TimelyTextView","https://github.com/adnan-SM/TimelyTextView.git","45","adnan-SM/TimelyTextView","20","1672","false"
"adonixis/android-animated-menu-items","https://github.com/adonixis/android-animated-menu-items.git","6","adonixis/android-animated-menu-items","1","1436","false"
"mttkay/droid-fu","https://github.com/mttkay/droid-fu.git","225","mttkay/droid-fu","28","1723","false"
"learnopengles/Learn-OpenGLES-Tutorials","https://github.com/learnopengles/Learn-OpenGLES-Tutorials.git","66","learnopengles/Learn-OpenGLES-Tutorials","11","515","false"
"florent37/SingleDateAndTimePicker","https://github.com/florent37/SingleDateAndTimePicker.git","395","florent37/SingleDateAndTimePicker","171","22194","true"
"chenyangcun/MaterialDesignExample","https://github.com/chenyangcun/MaterialDesignExample.git","48","chenyangcun/MaterialDesignExample","6","6892","false"
"jzyong/game-server","https://github.com/jzyong/game-server.git","232","jzyong/game-server","40","29194","false"
"abel533/Mybatis-Spring","https://github.com/abel533/Mybatis-Spring.git","72","abel533/Mybatis-Spring","18","1910","false"
"spring-projects/spring-hateoas","https://github.com/spring-projects/spring-hateoas.git","925","spring-projects/spring-hateoas","1287","5519","true"
"emilsjolander/android-FlipView","https://github.com/emilsjolander/android-FlipView.git","53","emilsjolander/android-FlipView","34","1337","false"
"Jude95/RollViewPager","https://github.com/Jude95/RollViewPager.git","78","Jude95/RollViewPager","59","541","false"
"crosswall/Android-Coverflow","https://github.com/crosswall/Android-Coverflow.git","55","crosswall/Android-Coverflow","13","2348","false"
"uberspot/2048-android","https://github.com/uberspot/2048-android.git","91","uberspot/2048-android","71","8155","false"
"codebutler/farebot","https://github.com/codebutler/farebot.git","258","codebutler/farebot","139","17009","false"
"Pixplicity/MultiViewPager","https://github.com/Pixplicity/MultiViewPager.git","35","Pixplicity/MultiViewPager","21","864","false"
"myxh/CoolShopping","https://github.com/myxh/CoolShopping.git","29","myxh/CoolShopping","14","46568","false"
"google-developer-training/android-advanced","https://github.com/google-developer-training/android-advanced.git","30","google-developer-training/android-advanced","7","13843","false"
"ushahidi/SMSSync","https://github.com/ushahidi/SMSSync.git","1816","ushahidi/SMSSync","397","36414","true"
"d3vilbug/HackBar","https://github.com/d3vilbug/HackBar.git","18","d3vilbug/HackBar","2","170","false"
"FuZhucheng/SSM","https://github.com/FuZhucheng/SSM.git","19","FuZhucheng/SSM","0","86078","false"
"Mojang/DataFixerUpper","https://github.com/Mojang/DataFixerUpper.git","143","Mojang/DataFixerUpper","42","467","false"
"JetBrains/intellij-sdk-docs","https://github.com/JetBrains/intellij-sdk-docs.git","3193","JetBrains/intellij-sdk-docs","389","40730","true"
"tianzhijiexian/CommonAdapter","https://github.com/tianzhijiexian/CommonAdapter.git","131","tianzhijiexian/CommonAdapter","61","782","false"
