"_id","clone_url","commit_size","full_name","gradle_num","issue_size","pom_num","repo_size","status","tesfile_num"
"dreamhead/moco","https://github.com/dreamhead/moco.git","3309","dreamhead/moco","3","170","0","5354","true","100"
"oblac/jodd","https://github.com/oblac/jodd.git","5357","oblac/jodd","8","774","0","42818","true","253"
"reactor/reactor-core","https://github.com/reactor/reactor-core.git","3434","reactor/reactor-core","6","2594","0","59835","true","423"
"yigit/android-priority-jobqueue","https://github.com/yigit/android-priority-jobqueue.git","380","yigit/android-priority-jobqueue","4","337","0","14756","true","75"
"Netflix/conductor","https://github.com/Netflix/conductor.git","2414","Netflix/conductor","21","1917","0","14423","true","196"
"querydsl/querydsl","https://github.com/querydsl/querydsl.git","7645","querydsl/querydsl","0","2380","30","50945","true","1240"
"google/data-transfer-project","https://github.com/google/data-transfer-project.git","1666","google/data-transfer-project","61","857","0","8250","true","76"
"jboss-javassist/javassist","https://github.com/jboss-javassist/javassist.git","930","jboss-javassist/javassist","0","201","1","24840","true","298"
"stephanenicolas/robospice","https://github.com/stephanenicolas/robospice.git","868","stephanenicolas/robospice","0","387","28","72063","true","118"
"LWJGL/lwjgl3","https://github.com/LWJGL/lwjgl3.git","3417","LWJGL/lwjgl3","1","573","1","47434","true","120"
"line/armeria","https://github.com/line/armeria.git","2830","line/armeria","85","3107","1","88171","true","691"
"undertow-io/undertow","https://github.com/undertow-io/undertow.git","5009","undertow-io/undertow","0","1055","11","24045","true","484"
"guoguibing/librec","https://github.com/guoguibing/librec.git","1082","guoguibing/librec","0","264","4","83844","true","113"
"spring-cloud/spring-cloud-gateway","https://github.com/spring-cloud/spring-cloud-gateway.git","1800","spring-cloud/spring-cloud-gateway","0","1905","8","9050","true","158"
"javaee/jersey","https://github.com/javaee/jersey.git","3167","javaee/jersey","0","3255","346","38964","true","1855"
"mplushnikov/lombok-intellij-plugin","https://github.com/mplushnikov/lombok-intellij-plugin.git","1699","mplushnikov/lombok-intellij-plugin","1","912","2","26901","true","1344"
"remkop/picocli","https://github.com/remkop/picocli.git","3558","remkop/picocli","11","1257","4","30082","true","181"
"alibaba/jetcache","https://github.com/alibaba/jetcache.git","932","alibaba/jetcache","0","380","15","2160","true","85"
"FasterXML/jackson-databind","https://github.com/FasterXML/jackson-databind.git","7797","FasterXML/jackson-databind","0","2730","1","84352","true","601"
"knowm/XChange","https://github.com/knowm/XChange.git","11378","knowm/XChange","0","3746","121","43390","true","674"
"linkedin/databus","https://github.com/linkedin/databus.git","332","linkedin/databus","42","90","0","51191","true","130"
"mock-server/mockserver","https://github.com/mock-server/mockserver.git","3083","mock-server/mockserver","0","892","12","47271","true","424"
"h2database/h2database","https://github.com/h2database/h2database.git","13461","h2database/h2database","0","2800","1","83976","true","318"
"fishercoder1534/Leetcode","https://github.com/fishercoder1534/Leetcode.git","4635","fishercoder1534/Leetcode","1","142","0","8778","true","843"
